genotype,dtf,height_cm,plants_m2,number_of_tillers,days_to_harvest,normalized_difference_vegetation_index,fluorescence,protein_pct
Fm363,112.16666666666568,112.16666666666578,28.9269322917176,1.1666666666666887,165.16666666666583,0.6316666666666587,0.6699999999999962,14.319999889460725
Fm364,119.499999999999,94.33333333333246,9.666666666666764,0.5000000000000202,178.64907945976267,0.5766666666666588,0.5749999999999962,
Fm365,103.16666666666569,104.99999999999913,,0.8333333333333548,163.83333333333252,0.574999999999992,0.6633333333333296,15.501666584997674
Fm366,101.66666666666569,94.49999999999913,41.17693229171759,0.3333333333333537,158.99999999999918,0.6799999999999919,0.6949999999999962,14.631666666666701
Fm368,101.33333333333235,105.83333333333245,10.000000000000087,1.5000000000000213,172.46717875978595,0.5716666666666588,0.5949999999999962,16.534874120739673
Fm369,107.66666666666569,78.99999999999913,3.0935989583842525,1.166666666666687,169.99999999999918,0.6166666666666587,0.6399999999999963,15.893333222794059
Fm370,114.66666666666569,108.49999999999912,37.593598958384256,2.1666666666666874,177.6666666666659,0.4866666666666588,0.4883333333333294,
Fm372,109.83333333333235,94.99999999999912,28.58742478291215,4.166666666666687,164.1666666666659,0.6566666666666587,0.6799999999999962,15.926666584997673
Fm375,106.999999999999,110.83333333333246,80.66666666666673,2.8333333333333544,160.33333333333252,0.6216666666666587,0.6133333333333295,16.215833251664343
Fm376,103.49999999999902,107.49999999999913,40.76026562505092,1.8333333333333546,157.83333333333252,0.6166666666666587,0.5383333333333296,16.173333251664342
Fm377,108.66666666666568,102.99999999999913,90.1584837675091,1.6666666666666878,165.1666666666659,0.6799999999999919,0.6883333333333295,16.73237409186939
Fm378,99.99999999999902,110.66666666666579,,2.6666666666666874,163.1666666666659,0.589999999999992,0.5566666666666629,20.359999889460724
Fm379,104.33333333333235,101.66666666666582,29.08855259817833,4.166666666666687,157.88384542645258,0.6966666666666588,0.669999999999996,16.359166584997674
Fm380,109.99999999999902,105.1666666666658,34.000000000000085,1.8333333333333548,167.16666666666586,0.594999999999992,0.6183333333333295,16.707499918331006
Fm381,101.66666666666569,111.83333333333246,,1.3333333333333552,158.33333333333252,0.6466666666666587,0.6099999999999961,14.636666556127391
Fm382,104.16666666666569,90.16666666666582,14.760265625050938,6.333333333333355,157.9999999999992,0.6749999999999919,0.6866666666666629,14.46749991833101
Fm384,117.83333333333235,84.99999999999915,26.426932291717605,1.6666666666666885,184.9999999999992,0.5216666666666585,0.4633333333333295,17.60499988946072
Fm387,124.499999999999,100.1666666666658,41.825150434175775,1.5000000000000222,186.53047751023718,0.5833333333333253,0.6716666666666629,
