year,trait,scope,estimable,genotype,blue,standard_error,status
2023,dtf,year,TRUE,Fm429,92.33333333333488,3.0515449535707186,Estimable
2023,dtf,year,TRUE,Fm43,143.3333333333349,3.0515449535707186,Estimable
2023,dtf,year,TRUE,Fm44,122.3333333333349,3.0515449535707186,Estimable
2023,dtf,year,TRUE,Fm442,105.00000000000158,3.0515449535707186,Estimable
2023,dtf,year,TRUE,Fm443,101.33333333333492,3.0515449535707186,Estimable
2023,dtf,year,TRUE,Fm444,113.00000000000156,3.0515449535707186,Estimable
2023,dtf,year,TRUE,Fm446,114.00000000000159,3.0515449535707186,Estimable
2023,dtf,year,TRUE,Fm45,136.0000000000016,3.0515449535707186,Estimable
2023,dtf,year,TRUE,Fm458,141.33333333333493,3.051544953570719,Estimable
2023,dtf,year,TRUE,Fm46,128.66666666666828,3.051544953570719,Estimable
2023,dtf,year,TRUE,Fm461,91.66666666666823,3.051544953570719,Estimable
2023,dtf,year,TRUE,Fm463,149.0000000000016,3.0515449535707186,Estimable
2023,dtf,year,TRUE,Fm464,129.66666666666825,3.0515449535707186,Estimable
2023,dtf,year,TRUE,Fm468,138.00000000000156,3.0515449535707186,Estimable
2023,dtf,year,TRUE,Fm474,152.33333333333493,3.051544953570719,Estimable
2023,dtf,year,TRUE,Fm475,107.3333333333349,3.051544953570719,Estimable
2023,dtf,year,TRUE,Fm476,106.66666666666822,3.051544953570719,Estimable
2023,dtf,year,TRUE,Fm477,109.33333333333489,3.0515449535707186,Estimable
2023,dtf,year,TRUE,Fm478,111.00000000000155,3.051544953570719,Estimable
2023,dtf,year,TRUE,Fm480,112.00000000000153,3.051544953570719,Estimable
2023,dtf,year,TRUE,Fm482,108.33333333333488,3.0515449535707186,Estimable
2023,dtf,year,TRUE,Fm484,99.33333333333486,3.0515449535707186,Estimable
2023,dtf,year,TRUE,Fm489,94.33333333333488,3.0515449535707186,Estimable
2023,dtf,year,TRUE,Fm491,109.66666666666822,3.0515449535707186,Estimable
2023,dtf,year,TRUE,Fm492,118.00000000000155,3.051544953570718,Estimable
2023,dtf,year,TRUE,Fm496,93.66666666666822,3.0515449535707186,Estimable
2023,dtf,year,TRUE,Fm505,136.66666666666822,3.051544953570718,Estimable
2023,dtf,year,TRUE,Fm507,107.33333333333489,3.051544953570718,Estimable
2023,dtf,year,TRUE,Fm510,138.33333333333488,3.0515449535707178,Estimable
2023,dtf,year,TRUE,Fm518,105.00000000000155,3.051544953570718,Estimable
2023,dtf,year,TRUE,Fm519,104.00000000000155,3.051544953570718,Estimable
2023,dtf,year,TRUE,Fm522,118.00000000000153,3.0515449535707186,Estimable
2023,dtf,year,TRUE,Fm523,91.33333333333486,3.0515449535707186,Estimable
2023,dtf,year,TRUE,Fm524,101.00000000000155,3.051544953570718,Estimable
2023,dtf,year,TRUE,Fm537,104.33333333333489,3.0515449535707186,Estimable
2023,dtf,year,TRUE,Fm54,159.6666666666682,3.051544953570718,Estimable
2023,dtf,year,TRUE,Fm55,139.66666666666822,3.0515449535707186,Estimable
2023,dtf,year,TRUE,Fm552,107.66666666666822,3.051544953570718,Estimable
2023,dtf,year,TRUE,Fm559,143.33333333333488,3.051544953570718,Estimable
2023,dtf,year,TRUE,Fm56,140.3333333333349,3.0515449535707178,Estimable
2023,dtf,year,TRUE,Fm560,84.00000000000156,3.0515449535707178,Estimable
2023,dtf,year,TRUE,Fm566,106.66666666666823,3.0515449535707178,Estimable
2023,dtf,year,TRUE,Fm569,84.66666666666822,3.0515449535707178,Estimable
2023,dtf,year,TRUE,Fm57,183.0000000000016,3.0515449535707178,Estimable
2023,dtf,year,TRUE,Fm573,142.00000000000156,3.0515449535707178,Estimable
2023,dtf,year,TRUE,Fm585,105.33333333333488,3.0515449535707178,Estimable
2023,dtf,year,TRUE,Fm589,107.33333333333489,3.0515449535707173,Estimable
2023,dtf,year,TRUE,Fm590,88.66666666666822,3.0515449535707178,Estimable
2023,dtf,year,TRUE,Fm592,91.6666666666682,3.0515449535707173,Estimable
2023,dtf,year,TRUE,Fm595,161.33333333333485,3.0515449535707178,Estimable
2023,dtf,year,TRUE,Fm597,143.33333333333485,3.0515449535707173,Estimable
2023,dtf,year,TRUE,Fm599,143.66666666666816,3.0515449535707173,Estimable
