genotype,dtf,height_cm,plants_m2,thousand_seed_weight_g,protein_pct,fat_pct,panicle_length_cm,pedicel_length_cm
Fm402,106.33333333333489,138.33333333332766,56.00000000000876,2.4359183470631707,,,,
Fm403,102.3333333333349,119.99999999999432,100.00000000000875,2.3654364254675215,16.134878794352073,4.213166197132253,16.33333333333329,3.666666666666555
Fm404,111.3333333333349,135.99999999999432,44.00000000000878,2.354358206011232,14.333326339721541,4.273423038518001,11.333333333333286,2.3333333333332216
Fm405,116.00000000000156,142.99999999999432,54.000000000008775,2.6945445025116253,16.284625371297064,4.3834799875994594,12.999999999999952,5.666666666666555
Fm406,100.66666666666822,115.66666666666097,36.00000000000876,2.571536202629408,13.483076095580918,4.05366288072321,12.333333333333286,6.999999999999889
Fm407,104.33333333333489,117.9999999999943,66.00000000000875,2.5326957498348097,13.203465143839379,3.975012512428622,16.16666666666662,8.83333333333322
Fm409,110.00000000000156,128.33333333332766,44.00000000000875,2.607627789396596,15.779368400573592,4.022881072772582,17.666666666666618,3.833333333333219
Fm41,142.33333333333493,114.9999999999943,64.00000000000873,2.2899479256175796,16.700402259826518,,12.999999999999952,2.566666666666553
Fm410,107.66666666666825,136.33333333332766,72.00000000000874,2.67641195495932,16.564095815022647,3.725372971354837,,
Fm411,108.66666666666825,123.99999999999432,60.00000000000875,2.674047736433521,13.788757642110049,3.765912787967065,18.666666666666618,8.166666666666554
Fm412,106.33333333333492,122.33333333332764,44.00000000000874,2.493929326980036,,,12.499999999999952,3.499999999999885
Fm413,110.66666666666823,113.666666666661,56.00000000000873,2.799824509906711,15.325249354044457,4.082173058283769,13.833333333333286,2.9999999999998863
Fm414,96.6666666666682,126.99999999999434,80.00000000000874,2.1512265348466784,,,13.16666666666662,5.833333333333221
Fm415,98.33333333333488,136.99999999999432,76.00000000000875,1.8063183136578085,18.028011957804218,4.415937015273258,9.833333333333284,3.6666666666665537
