genotype,deltaN__dtf,deltaN__height_cm,deltaN__plants_m2,deltaN__number_of_tillers,deltaN__days_to_harvest,deltaN__normalized_difference_vegetation_index,deltaN__fluorescence,deltaN__protein_pct
Fm405,0.6666666666686041,1.333333333331737,-19.683032464981814,-0.6666666666666243,8.333333333331325,-0.0833333333333447,0.020000000000034213,-1.28525143184455
Fm406,-1.6666666666647245,8.999999999998366,-14.349699131648503,-0.6666666666666263,1.9999999999979536,0.01666666666665506,0.06333333333336755,0.7600001633381215
Fm407,-2.6666666666647387,3.666666666665037,0.6666666666667851,-0.33333333333329335,-8.33333333333536,0.09333333333332183,-0.0033333333332989934,-0.9916665033285472
Fm41,4.66666666666859,-1.6666666666682772,-7.016365798315164,-0.3333333333332922,-4.333333333335332,-0.013333333333344854,0.08000000000003404,4.839748625896014
Fm410,-0.6666666666647529,-0.3333333333349202,6.187197916768461,4.085620730620576e-14,4.617804328136941,-0.030000000000011573,-0.0233333333332989,0.863333496671455
Fm411,-6.33333333333141,7.999999999998366,-9.479468749898157,1.3333333333333748,-9.666666666668647,0.03666666666665519,0.10000000000003428,-1.5249998366618822
Fm412,-0.6666666666647529,3.9999999999983515,2.6666666666667744,-1.3333333333332922,1.6666666666646393,-0.016666666666678154,-0.059999999999965636,1.490000163338122
Fm413,0.6666666666685757,-7.000000000001634,-4.47946874989821,1.6666666666667096,4.333333333331353,-0.04666666666667807,-0.08333333333329884,2.3416668300047867
Fm414,1.3333333333352329,-7.666666666668291,4.000000000000117,-0.3333333333332919,-1.6666666666687036,0.02666666666665518,-0.006666666666632071,1.1900001633381159
Fm415,1.6666666666685614,-6.333333333334949,1.6503008683515006,2.000000000000043,1.9999999999980105,0.02999999999998859,-0.11999999999996547,-1.9566665033285506
Fm416,2.00000000000189,12.666666666665009,8.52053125010179,-0.6666666666666243,6.333333333331353,-0.12333333333334484,3.4638958368304884e-14,
Fm417,-2.3333333333314386,2.3333333333317086,4.000000000000107,4.263256414560601e-14,-3.333333333335304,0.026666666666655403,0.1200000000000348,
Fm418,-1.333333333331396,-4.66666666666832,-3.3333333333332362,0.3333333333333738,-1.9610979506978765e-12,-0.023333333333344752,0.023333333333367512,0.9901518718416789
Fm419,2.66666666666859,-5.333333333334991,0.3169675350181791,0.33333333333337567,5.999999999997982,0.006666666666655274,0.003333333333367383,2.1066666666667295
Fm420,-2.6666666666647387,2.33333333333168,-3.6830324649818227,0.3333333333333756,-6.767690852908771,-0.03333333333334476,-0.016666666666632413,-0.4833331122546376
Fm421,-1.6666666666647245,-8.333333333334963,,0.33333333333337545,-6.000000000001961,0.039999999999988434,0.023333333333368178,2.1097486258960174
Fm428,9.333333333335275,1.333333333331666,-2.3496991316484817,1.0000000000000444,8.7323091470912,-0.11333333333334505,-0.11999999999996569,0.31666683000478457
Fm429,1.666666666668604,-1.3333333333349344,-7.01636579831516,4.2021941482062175e-14,-1.0000000000019895,-1.1435297153639112e-14,-0.0166666666666323,-1.3766666666666012
Fm43,5.666666666668576,-4.0000000000016485,2.1871979167684685,0.6666666666667096,5.999999999998039,-0.04000000000001147,-0.049999999999965294,
Fm44,1.0000000000019185,4.666666666665037,9.650300868351522,-0.3333333333332904,6.666666666664696,-0.010000000000011555,0.030000000000034777,-1.8133331122546466
