dataset,trait,model,n,status,started,updated,detail
2024_N120,plants_m2,MLM,75,started,2026-09-08 20:29:25.010856,2026-09-08 20:29:25.011306,""
2024_N120,plants_m2,MLM,75,completed,2026-09-08 20:29:25.010856,2026-09-08 20:31:57.678613,""
2024_N120,plants_m2,FarmCPU,75,started,2026-09-08 20:31:58.602375,2026-09-08 20:31:58.602615,""
2024_N120,plants_m2,FarmCPU,75,completed,2026-09-08 20:31:58.602375,2026-09-08 20:33:32.500922,""
2024_N120,plants_m2,BLINK,75,started,2026-09-08 20:33:33.537205,2026-09-08 20:33:33.537463,""
2024_N120,plants_m2,BLINK,75,completed,2026-09-08 20:33:33.537205,2026-09-08 20:35:08.747747,""
2024_N120,number_of_tillers,MLM,81,started,2026-09-08 20:35:10.114579,2026-09-08 20:35:10.11493,""
2024_N120,number_of_tillers,MLM,81,completed,2026-09-08 20:35:10.114579,2026-09-08 20:38:07.227221,""
2024_N120,number_of_tillers,FarmCPU,81,started,2026-09-08 20:38:08.053917,2026-09-08 20:38:08.054167,""
2024_N120,number_of_tillers,FarmCPU,81,completed,2026-09-08 20:38:08.053917,2026-09-08 20:42:54.49542,""
2024_N120,number_of_tillers,BLINK,81,started,2026-09-08 20:42:55.703272,2026-09-08 20:42:55.703556,""
2024_N120,number_of_tillers,BLINK,81,completed,2026-09-08 20:42:55.703272,2026-09-08 20:47:01.211506,""
2024_N120,days_to_harvest,MLM,80,started,2026-09-08 20:47:02.825205,2026-09-08 20:47:02.825453,""
2024_N120,days_to_harvest,MLM,80,completed,2026-09-08 20:47:02.825205,2026-09-08 20:49:39.815005,""
2024_N120,days_to_harvest,FarmCPU,80,started,2026-09-08 20:49:40.836896,2026-09-08 20:49:40.837183,""
2024_N120,days_to_harvest,FarmCPU,80,completed,2026-09-08 20:49:40.836896,2026-09-08 20:54:42.152192,""
2024_N120,days_to_harvest,BLINK,80,started,2026-09-08 20:54:43.293563,2026-09-08 20:54:43.293823,""
2024_N120,days_to_harvest,BLINK,80,completed,2026-09-08 20:54:43.293563,2026-09-08 20:57:29.920858,""
2024_N120,normalized_difference_vegetation_index,MLM,81,started,2026-09-08 20:57:31.316512,2026-09-08 20:57:31.316799,""
2024_N120,normalized_difference_vegetation_index,MLM,81,completed,2026-09-08 20:57:31.316512,2026-09-08 21:00:09.602118,""
